Pais,Produto,Valor_2024,Valor_2026
Alemanha,Adubos (fertilizantes),615036,643258.0
Alemanha,"Aeronaves e aparelhos espaciais, e suas partes",11522343,10981200.0
Alemanha,Algodão,1997949,2864268.0
Alemanha,Alumínio e suas obras,9805266,21110402.0
Alemanha,Animais vivos,2083,1955.0
Alemanha,Armas e munições; suas partes e acessórios,9001195,10756178.0
Alemanha,Artigos de relojoaria,9213,9213.0
Alemanha,Açúcares e produtos de confeitaria,2122740,2385727.0
Alemanha,"Bebidas, líquidos alcoólicos e vinagres",1950051,1995710.0
Alemanha,Borracha e suas obras,16386236,20987952.0
Alemanha,"Brinquedos, jogos, artigos para divertimento ou para esporte; suas partes e acessórios",81599,110641.0
Alemanha,Cacau e suas preparações,113223,603725.0
Alemanha,"Café, chá, mate e especiarias",1835821662,1730606341.0
Alemanha,"Calçados, polainas e artefatos semelhantes; suas partes",64892200,64929874.0
Alemanha,"Carnes e miudezas, comestíveis",92778856,120471867.0
Alemanha,Cereais,435888,5996959.0
Alemanha,"Chapéus e artefatos de uso semelhante, e suas partes",3390,2578.0
Alemanha,Cobre e suas obras,7086466,15953196.0
Alemanha,"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais",79307912,110745298.0
Alemanha,Cortiça e suas obras,516,1138.0
Alemanha,Embarcações e estruturas flutuantes,50482,64290.0
Alemanha,Estanho e suas obras,1448840,1033221.0
Alemanha,Extratos tanantes e tintoriais; taninos e seus derivados; pigmentos e outras matérias corantes; tintas e vernizes; mástiques; tintas de escrever,3352568,3352568.0
Alemanha,"Ferramentas, artefatos de cutelaria e talheres, e suas partes, de metais comuns",4181215,5782935.0
Alemanha,"Ferro fundido, ferro e aço",84421872,122338179.0
Alemanha,"Fibras sintéticas ou artificiais, descontínuas",928,2857.0
Alemanha,Filamentos sintéticos ou artificiais,154045,189311.0
Alemanha,Frutas; cascas de frutos cítricos e de melões,15122099,12894419.0
Alemanha,"Gomas, resinas e outros sucos e extratos vegetais",2965574,3196468.0
Alemanha,Gorduras e óleos animais ou vegetais; produtos da sua dissociação; gorduras alimentares elaboradas; ceras de origem animal ou vegetal,20244964,18440583.0
Alemanha,"Guarda-chuvas, sombrinhas, guarda-sóis, bengalas, bengalas-assentos, chicotes, pingalins, e suas partes",2361,2361.0
Alemanha,"Instrumentos e aparelhos de óptica, de fotografia, de cinematografia, de medida, de controle ou de precisão; instrumentos e aparelhos médico-cirúrgicos; suas partes e acessórios",35066883,41539034.0
Alemanha,Instrumentos musicais; suas partes e acessórios,659193,740474.0
Alemanha,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos",6334797,5599526.0
Alemanha,"Livros, jornais, gravuras e outros produtos das indústrias gráficas; textos manuscritos ou datilografados, planos e plantas",558675,1171122.0
Alemanha,"Lã, pelos finos ou grosseiros; fios e tecidos de crina",184661,315666.0
Alemanha,"Madeira, carvão vegetal e obras de madeira",72891775,89721119.0
Alemanha,Matérias albuminóides; produtos à base de amidos ou de féculas modificados; colas; enzimas,24883284,29282130.0
Alemanha,"Matérias para entrançar e outros produtos de origem vegetal, não especificados nem compreendidos noutros Capítulos",412,457.0
Alemanha,"Minerios, escórias e cinzas",931364113,980035400.0
Alemanha,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",142696315,160473955.0
Alemanha,"Móveis; mobiliário médico-cirúrgico, colchões, almofadas e semelhantes; aparelhos de iluminação não especificados nem compreendidos em outros capítulos; anúncios, cartazes ou tabuletas e placas indicadoras luminosos, e artigos semelhantes; Construções Pré",8093336,10146568.0
Alemanha,Níquel e suas obras,249123,863281.0
Alemanha,"Objetos de arte, de coleção e antiguidades",1986274,2337706.0
Alemanha,"Obras de couro; artigos de correeiro ou de seleiro; artigos de viagem, bolsas e artefatos semelhantes; obras de tripa",930442,990418.0
Alemanha,Obras de espartaria ou de cestaria,3029,2968.0
Alemanha,"Obras de ferro fundido, ferro ou aço",60175777,78485861.0
Alemanha,"Obras de pedra, gesso, cimento, amianto, mica ou de matérias semelhantes",24919598,23433928.0
Alemanha,Obras diversas,3930956,5362179.0
Alemanha,Obras diversas de metais comuns,779598,950499.0
Alemanha,Outras fibras têxteis vegetais; fios de papel e tecidos de fios de papel,50221,105261.0
Alemanha,"Outros artefatos têxteis confeccionados; sortidos; artefatos de matérias têxteis, calçados, chapéus e artefatos de uso semelhante, usados; trapos",391912,354430.0
