Ano,Pais,Produto,Valor,Peso_kg,Tipo
2024,China,"Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",31490818970,72516119972,Histórico
2024,China,"Minerios, escórias e cinzas",21356130583,278980035296,Histórico
2024,China,"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais",20678975255,41009330334,Histórico
2024,China,"Carnes e miudezas, comestíveis",7802597082,2125768535,Histórico
2024,Estados Unidos,"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais",7664391582,14937690181,Histórico
2024,Estados Unidos,"Ferro fundido, ferro e aço",5706398259,9107039647,Histórico
2024,Espanha,"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais",5029049516,9876569975,Histórico
2024,Argentina,"Veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios",4827284720,462709380,Histórico
2024,China,Pastas de madeira ou de outras matérias fibrosas celulósicas; papel ou cartão para reciclar (desperdícios e aparas).,4616596219,8998866567,Histórico
2024,Estados Unidos,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",3645973297,360794048,Histórico
2024,Países Baixos (Holanda),"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais",3436918086,6745645666,Histórico
2024,Estados Unidos,"Aeronaves e aparelhos espaciais, e suas partes",2688955941,2363621,Histórico
2024,Chile,"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais",1986538112,3740717966,Histórico
2024,Estados Unidos,"Café, chá, mate e especiarias",1943460408,469778320,Histórico
2024,Canadá,"Pérolas naturais ou cultivadas, pedras preciosas ou semipreciosas e semelhantes, metais preciosos, metais folheados ou chapeados de metais preciosos (plaquê), e suas obras; bijuterias; moedas",1843201011,136003,Histórico
2024,Alemanha,"Café, chá, mate e especiarias",1835821662,447193001,Histórico
2024,Espanha,"Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",1809718957,4186978368,Histórico
2024,China,Algodão,1730606341,924695111,Histórico
2024,Estados Unidos,Pastas de madeira ou de outras matérias fibrosas celulósicas; papel ou cartão para reciclar (desperdícios e aparas).,1674070690,2998908857,Histórico
2024,Canadá,"Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos",1648335732,3557759976,Histórico
2024,Estados Unidos,"Madeira, carvão vegetal e obras de madeira",1587458886,1615887228,Histórico
2024,México,"Veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios",1565684776,160018261,Histórico
2024,Argentina,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",1409082081,98071002,Histórico
2024,China,Açúcares e produtos de confeitaria,1405935750,3020547990,Histórico
2024,Estados Unidos,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",1405931851,101465263,Histórico
2024,China,"Ferro fundido, ferro e aço",1272337156,97733728,Histórico
2024,Estados Unidos,"Preparações de produtos hortícolas, de frutas ou de outras partes de plantas",1244518772,1348311923,Histórico
2024,México,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",1196225490,139790743,Histórico
2024,Japão,"Carnes e miudezas, comestíveis",1163872847,532315521,Histórico
2024,Chile,"Carnes e miudezas, comestíveis",1032354691,329815270,Histórico
2024,Estados Unidos,"Carnes e miudezas, comestíveis",1014964813,209861370,Histórico
2024,Japão,"Minerios, escórias e cinzas",1009661549,12047231907,Histórico
2024,Países Baixos (Holanda),Resíduos e desperdícios das indústrias alimentares; alimentos preparados para animais,960193225,2248921959,Histórico
2024,Alemanha,"Minerios, escórias e cinzas",931364113,2194744316,Histórico
2024,Chile,"Veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios",909285315,86575026,Histórico
2024,México,"Carnes e miudezas, comestíveis",880280103,310260677,Histórico
2024,Estados Unidos,"Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos",878776764,1500909886,Histórico
2024,Países Baixos (Holanda),Pastas de madeira ou de outras matérias fibrosas celulósicas; papel ou cartão para reciclar (desperdícios e aparas).,877302796,1536798348,Histórico
2024,Países Baixos (Holanda),"Preparações de produtos hortícolas, de frutas ou de outras partes de plantas",840266486,515651295,Histórico
2024,Países Baixos (Holanda),"Minerios, escórias e cinzas",823093832,9662983672,Histórico
2024,Países Baixos (Holanda),"Ferro fundido, ferro e aço",813066921,414768963,Histórico
2024,Estados Unidos,"Obras de pedra, gesso, cimento, amianto, mica ou de matérias semelhantes",802734219,683390687,Histórico
2024,Argentina,Plásticos e suas obras,752692330,336629018,Histórico
2024,México,"Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",725999176,1616320269,Histórico
