Ano,Países,Código SH2,Descrição SH2,Valor US$ FOB,Quilograma Líquido
2024,"
China",12,"
Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",31490818970,72516119972
2024,"
China",26,"
Minerios, escórias e cinzas",21356130583,278980035296
2024,"
China",27,"
Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais",20678975255,41009330334
2024,"
China",2,"
Carnes e miudezas, comestíveis",7802597082,2125768535
2024,"
Estados Unidos",27,"
Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais",7664391582,14937690181
2024,"
Estados Unidos",72,"
Ferro fundido, ferro e aço",5706398259,9107039647
2024,"
Espanha",27,"
Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais",5029049516,9876569975
2024,"
Argentina",87,"
Veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios",4827284720,462709380
2024,"
China",47,"
Pastas de madeira ou de outras matérias fibrosas celulósicas; papel ou cartão para reciclar (desperdícios e aparas).",4616596219,8998866567
2024,"
Estados Unidos",84,"
Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",3645973297,360794048
2024,"
Países Baixos (Holanda)",27,"
Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais",3436918086,6745645666
2024,"
Estados Unidos",88,"
Aeronaves e aparelhos espaciais, e suas partes",2688955941,2363621
2024,"
Chile",27,"
Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais",1986538112,3740717966
2024,"
Estados Unidos",9,"
Café, chá, mate e especiarias",1943460408,469778320
2024,"
Canadá",71,"
Pérolas naturais ou cultivadas, pedras preciosas ou semipreciosas e semelhantes, metais preciosos, metais folheados ou chapeados de metais preciosos (plaquê), e suas obras; bijuterias; moedas",1843201011,136003
2024,"
Alemanha",9,"
Café, chá, mate e especiarias",1835821662,447193001
2024,"
Espanha",12,"
Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",1809718957,4186978368
2024,"
China",52,"
Algodão",1730606341,924695111
2024,"
Estados Unidos",47,"
Pastas de madeira ou de outras matérias fibrosas celulósicas; papel ou cartão para reciclar (desperdícios e aparas).",1674070690,2998908857
2024,"
Canadá",28,"
Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos",1648335732,3557759976
2024,"
Estados Unidos",44,"
Madeira, carvão vegetal e obras de madeira",1587458886,1615887228
2024,"
México",87,"
Veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios",1565684776,160018261
2024,"
Argentina",84,"
Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",1409082081,98071002
2024,"
China",17,"
Açúcares e produtos de confeitaria",1405935750,3020547990
2024,"
Estados Unidos",85,"
Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",1405931851,101465263
2024,"
China",72,"
Ferro fundido, ferro e aço",1272337156,97733728
2024,"
Estados Unidos",20,"
Preparações de produtos hortícolas, de frutas ou de outras partes de plantas",1244518772,1348311923
2024,"
México",84,"
Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",1196225490,139790743
2024,"
Japão",2,"
Carnes e miudezas, comestíveis",1163872847,532315521
2024,"
Chile",2,"
Carnes e miudezas, comestíveis",1032354691,329815270
2024,"
Estados Unidos",2,"
Carnes e miudezas, comestíveis",1014964813,209861370
2024,"
Japão",26,"
Minerios, escórias e cinzas",1009661549,12047231907
